epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.118,0.74494,1.60173,1.15746,0.65095,0.75065,0.69164,0.59382,0.66325,2.78772,0.66119,0.000554331,0.000554331,0.000554331
2,353.696,0.76925,1.209,1.15183,0.64022,0.66568,0.71502,0.58484,0.75735,7.11162,0.77091,0.00108802,0.00108802,0.00108802
3,524.719,0.7273,1.15146,1.1413,0.78184,0.68175,0.71427,0.60485,0.81244,3.22339,0.82037,0.0015997,0.0015997,0.0015997
4,695.116,0.72352,1.09882,1.13658,0.67275,0.75522,0.72498,0.61966,0.7514,2.57577,0.77365,0.00156798,0.00156798,0.00156798
5,868.991,0.67036,0.98455,1.10777,0.7233,0.81926,0.76867,0.66586,0.69832,2.61392,0.72156,0.00153497,0.00153497,0.00153497
6,1046.35,0.63627,0.93212,1.09683,0.7473,0.82285,0.75856,0.66062,0.74724,1.8183,0.79446,0.00150197,0.00150197,0.00150197
7,1224.74,0.60972,0.90933,1.08963,0.67796,0.80508,0.75485,0.65998,0.71185,1.51823,0.75359,0.00146896,0.00146896,0.00146896
8,1404.18,0.59508,0.86514,1.08737,0.61967,0.79954,0.72931,0.63432,0.68729,1.62886,0.74605,0.00143595,0.00143595,0.00143595
9,1582.04,0.59376,0.87146,1.09068,0.61416,0.74228,0.73822,0.64697,0.66954,2.53965,0.71387,0.00140295,0.00140295,0.00140295
10,1764.87,0.58553,0.85083,1.08028,0.69194,0.7592,0.76292,0.67207,0.70599,1.38201,0.76743,0.00136994,0.00136994,0.00136994
11,1950.37,0.58279,0.84724,1.08534,0.75987,0.79307,0.76748,0.65668,0.6783,2.10156,0.7293,0.00133693,0.00133693,0.00133693
12,2135.76,0.56206,0.82626,1.07365,0.75785,0.80919,0.77781,0.66197,0.71676,1.80773,0.73834,0.00130393,0.00130393,0.00130393
13,2314.99,0.56502,0.80126,1.07712,0.59362,0.82661,0.76022,0.66303,0.63455,1.37196,0.70101,0.00127092,0.00127092,0.00127092
14,2496.6,0.57376,0.83284,1.08081,0.72212,0.86084,0.77324,0.6701,0.64904,1.24209,0.70132,0.00123791,0.00123791,0.00123791
15,2686.52,0.54922,0.785,1.06903,0.73087,0.83569,0.76729,0.6704,0.63903,1.34646,0.68689,0.00120491,0.00120491,0.00120491
